ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Scotland,S12000039,West Dunbartonshire,"10,450","10,798","11,397","12,321","12,835","13,558","14,717","15,736","16,758","16,969","17,871","17,378","17,683","18,482","18,191","18,454","19,700","20,094","21,647","22,723","24,016","25,038","23,113","25,499","27,703","31,886"
Scotland,S12000045,East Dunbartonshire,"8,355","8,664","8,898","9,329","9,658","10,251","10,721","11,419","11,962","12,046","12,290","11,742","11,746","12,342","12,687","13,278","14,233","14,670","14,875","15,906","16,334","16,684","14,973","16,772","18,479","19,306"
Scotland,S12000049,Glasgow City,"19,794","20,637","21,627","22,897","23,405","24,870","27,160","29,280","30,933","31,849","32,624","32,062","31,337","32,147","32,627","34,144","35,025","34,981","35,200","36,801","37,253","38,816","37,223","41,063","46,740","50,250"
Scotland,S12000011,East Renfrewshire,"7,939","8,229","8,586","8,876","9,159","9,646","10,131","10,250","10,655","10,745","11,337","10,712","10,876","11,261","11,861","12,662","13,371","13,726","13,994","14,667","14,790","14,796","14,201","15,638","16,842","18,093"
Scotland,S12000038,Renfrewshire,"14,932","15,246","16,136","16,963","17,555","18,226","19,222","20,084","21,183","20,908","21,939","20,939","21,007","21,953","22,419","23,619","25,735","26,448","26,015","27,548","28,380","29,147","27,589","30,738","30,466","31,813"
Scotland,S12000018,Inverclyde,"10,838","10,742","11,455","12,385","13,089","13,801","15,003","15,543","15,931","16,061","16,894","16,559","16,436","17,389","18,048","17,702","18,977","19,184","19,440","19,460","18,660","18,331","16,342","18,072","17,986","19,546"
Scotland,S12000050,North Lanarkshire,"13,439","13,587","14,084","14,955","15,494","16,349","17,193","18,101","19,011","19,206","20,178","19,398","19,510","20,054","20,546","21,434","23,659","23,906","24,522","26,200","26,875","27,942","26,741","28,871","30,944","34,184"
Scotland,S12000033,Aberdeen City,"25,167","25,446","26,138","28,389","29,769","30,509","32,431","34,088","38,598","42,679","47,008","45,314","46,764","47,641","50,620","53,403","53,990","51,412","46,747","45,637","47,362","48,817","43,344","44,490","49,680","52,583"
Scotland,S12000034,Aberdeenshire,"15,755","15,713","16,261","17,407","18,024","18,043","18,787","19,817","21,895","23,862","25,444","24,501","24,866","26,046","26,365","28,503","30,900","30,579","29,441","30,475","29,831","29,455","26,641","27,558","29,564","31,115"
Scotland,S12000026,Scottish Borders,"13,773","13,801","14,184","14,722","15,249","15,714","15,924","16,748","17,743","17,872","18,324","17,771","18,257","18,975","19,384","20,258","21,727","22,205","22,242","23,218","24,187","24,846","23,502","25,211","26,142","27,485"
Scotland,S12000006,Dumfries and Galloway,"14,053","14,654","15,604","16,572","16,955","17,959","18,439","19,281","20,289","20,486","21,505","20,836","20,756","21,706","22,316","23,501","24,638","24,701","25,202","26,629","26,608","27,963","26,329","27,728","29,758","32,027"
Scotland,S12000008,East Ayrshire,"10,268","10,705","11,179","11,879","12,243","12,703","13,279","14,387","15,336","15,777","16,377","15,886","15,990","16,323","16,581","16,778","17,304","17,716","17,950","19,260","19,014","19,307","18,426","19,855","21,220","23,015"
Scotland,S12000028,South Ayrshire,"13,625","14,023","15,074","15,732","16,449","17,032","18,014","18,950","20,024","19,920","20,728","20,407","21,013","21,542","21,589","21,760","22,939","23,418","23,692","24,757","25,433","25,903","23,071","24,547","27,513","30,057"
Scotland,S12000029,South Lanarkshire,"13,081","13,375","13,694","14,399","15,005","15,919","16,659","17,747","19,132","19,408","20,352","19,917","19,982","20,463","21,085","22,059","22,916","23,069","23,546","24,861","24,762","25,405","23,728","24,933","26,764","28,895"
Northern Ireland,N09000003,Belfast,"18,106","19,464","21,098","22,487","23,416","25,774","27,434","29,077","30,634","31,977","32,224","31,928","31,101","32,218","32,942","34,665","34,900","35,973","38,332","40,686","41,613","43,009","40,796","46,739","50,785",[u]
Northern Ireland,N09000002,"Armagh City, Banbridge and Craigavon","11,224","11,824","12,490","13,179","13,454","14,210","14,753","15,444","16,183","16,934","16,727","15,873","16,136","16,623","16,869","17,749","18,403","18,905","20,007","20,618","21,464","22,350","20,950","23,145","24,868",[u]
Northern Ireland,N09000010,"Newry, Mourne and Down","10,335","10,891","11,737","12,199","12,486","13,275","13,763","14,485","15,190","15,462","15,619","14,732","14,780","15,604","16,093","16,780","17,702","18,053","18,986","19,578","20,157","21,276","20,153","21,883","23,773",[u]
Northern Ireland,N09000011,Ards and North Down,"8,694","9,139","9,664","10,102","10,447","11,144","11,439","12,158","12,862","13,278","13,378","12,584","12,622","13,241","13,554","13,307","13,825","13,909","15,013","15,792","16,198","16,618","15,872","17,124","18,253",[u]
Northern Ireland,N09000005,Derry City and Strabane,"10,541","11,026","11,465","11,977","12,293","13,688","14,005","15,215","16,298","16,350","16,805","16,556","16,573","17,170","17,783","18,079","18,362","18,671","19,799","20,909","21,289","22,759","22,560","24,284","26,650",[u]
Northern Ireland,N09000009,Mid Ulster,"14,808","15,727","17,117","17,559","17,798","19,437","19,949","21,003","21,774","22,279","21,173","18,903","19,749","20,076","20,299","21,528","22,392","23,097","24,005","24,787","26,449","28,228","25,800","28,698","32,013",[u]
Northern Ireland,N09000004,Causeway Coast and Glens,"10,289","10,928","11,935","12,076","12,323","13,211","13,578","14,300","15,184","15,553","15,493","14,822","15,151","15,915","16,315","16,486","16,714","16,734","17,847","18,638","18,496","19,111","17,773","20,077","21,846",[u]
Northern Ireland,N09000001,Antrim and Newtownabbey,"14,335","15,131","16,166","17,030","17,422","18,175","18,829","19,476","20,581","21,553","21,064","19,941","20,373","21,181","21,564","21,541","22,782","23,389","24,150","25,433","25,755","26,989","26,452","28,255","29,653",[u]
Northern Ireland,N09000007,Lisburn and Castlereagh,"13,198","14,005","15,029","15,933","16,336","17,450","17,873","18,827","19,795","20,474","20,270","19,538","19,557","20,089","20,755","21,232","21,661","22,348","23,302","23,755","24,826","26,044","24,376","26,849","29,271",[u]
Northern Ireland,N09000008,Mid and East Antrim,"16,902","17,660","19,152","18,525","18,953","19,219","20,292","20,169","20,969","21,165","21,934","23,077","22,796","21,854","24,495","24,405","23,957","26,240","25,645","23,395","20,269","21,194","20,203","21,966","23,822",[u]
Northern Ireland,N09000006,Fermanagh and Omagh,"11,901","12,522","13,270","13,847","14,233","15,224","15,906","17,144","18,069","18,336","18,232","17,453","17,388","17,736","18,646","17,941","19,019","19,198","20,353","21,483","22,265","23,222","22,487","24,509","26,405",[u]
