ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Yorkshire and The Humber,E06000013,North Lincolnshire,"16,651","16,421","17,048","17,686","18,038","20,016","21,266","22,143","21,599","24,161","25,590","23,043","24,525","22,823","22,855","23,572","23,924","26,317","27,059","29,055","28,670","33,365","29,279","37,218","37,672","36,004"
Yorkshire and The Humber,E06000014,York,"19,337","20,175","20,952","21,961","23,592","24,865","26,579","27,208","27,392","28,780","28,706","27,353","27,941","28,668","29,161","29,261","29,989","30,525","31,913","33,868","34,556","34,769","32,014","36,838","41,466","44,872"
Yorkshire and The Humber,E06000065,North Yorkshire,"15,021","15,321","15,910","16,556","17,892","18,779","19,459","20,033","20,928","21,927","22,233","21,462","21,627","22,658","22,970","23,855","24,433","24,887","25,838","27,423","27,612","28,644","27,084","30,392","32,943","35,742"
Yorkshire and The Humber,E08000019,Sheffield,"14,094","14,334","15,025","16,292","17,331","18,477","19,466","20,108","21,162","22,345","21,897","21,649","22,028","22,521","22,832","23,458","24,101","24,751","24,984","25,458","25,582","26,847","26,579","28,669","30,987","33,234"
Yorkshire and The Humber,E08000016,Barnsley,"10,525","10,647","11,063","11,542","11,990","12,688","13,499","13,893","14,371","15,273","14,877","14,132","14,707","15,254","15,675","16,175","16,894","17,276","17,498","18,246","18,907","19,679","18,796","20,314","22,281","23,519"
Yorkshire and The Humber,E08000018,Rotherham,"11,412","11,600","12,068","12,579","13,220","13,953","14,499","15,034","15,521","16,564","16,500","15,623","16,393","17,001","17,967","18,016","18,590","19,348","19,694","20,617","20,776","21,472","20,392","21,679","23,220","23,943"
Yorkshire and The Humber,E08000017,Doncaster,"10,828","11,087","11,462","11,973","12,532","13,266","14,198","14,564","15,365","16,258","16,153","15,142","15,704","15,974","16,336","16,744","17,776","19,037","19,461","21,257","21,409","22,171","21,477","22,871","25,121","26,332"
Yorkshire and The Humber,E08000032,Bradford,"12,640","13,346","13,518","13,895","14,249","14,923","15,598","16,171","16,601","17,230","17,541","17,034","17,122","17,751","18,069","18,374","18,526","19,073","19,471","20,372","20,587","20,680","20,198","21,832","23,166","23,945"
Yorkshire and The Humber,E08000035,Leeds,"18,847","20,112","20,786","21,529","22,562","24,383","25,989","27,372","29,020","30,523","30,236","29,828","30,472","31,131","31,582","32,228","32,918","33,803","33,921","34,735","36,489","37,337","34,870","38,651","43,702","47,411"
Yorkshire and The Humber,E08000033,Calderdale,"12,922","13,554","13,694","14,213","14,472","15,444","16,348","17,700","18,549","19,238","18,349","17,629","18,222","18,852","19,309","20,008","22,681","24,829","24,929","26,945","28,653","28,605","26,988","30,305","29,132","31,148"
Yorkshire and The Humber,E08000034,Kirklees,"11,873","12,434","12,622","12,869","13,090","13,723","14,170","14,727","15,102","15,715","15,757","15,179","15,460","15,840","16,252","16,532","17,093","17,892","18,253","19,424","20,226","20,359","19,440","21,171","22,677","24,016"
Yorkshire and The Humber,E08000036,Wakefield,"14,511","15,243","15,705","16,272","16,804","17,620","18,270","19,013","19,560","20,111","20,389","19,831","19,724","20,277","20,786","21,378","21,431","22,688","23,347","24,059","25,264","26,035","24,688","26,541","29,539","31,580"
East Midlands ,E06000015,Derby,"18,054","19,180","19,998","20,972","22,014","22,730","24,404","26,312","26,949","27,399","27,720","26,764","26,965","28,320","28,690","29,522","28,884","28,792","28,986","28,966","30,791","31,758","32,700","34,635","35,751","38,113"
East Midlands ,E07000033,Bolsover,"16,629","16,854","16,975","17,462","17,466","17,468","18,083","19,068","19,441","20,023","20,981","20,366","20,974","21,131","21,914","22,159","22,257","24,719","25,936","27,194","28,889","29,171","29,052","30,756","32,949","33,730"
East Midlands ,E07000034,Chesterfield,"13,098","13,544","13,975","14,796","15,493","15,890","16,783","17,810","18,251","18,959","19,213","18,487","19,491","19,642","20,952","21,344","22,095","23,393","24,002","24,890","25,734","26,196","27,550","29,973","32,069","32,633"
East Midlands ,E07000038,North East Derbyshire,"9,311","9,787","9,991","10,252","10,612","11,091","11,441","12,160","12,367","12,625","13,027","12,242","12,711","13,434","13,651","14,195","15,335","16,525","16,500","16,521","17,280","17,880","17,714","18,918","20,296","20,657"
East Midlands ,E07000032,Amber Valley,"14,891","15,030","14,820","15,101","15,629","16,000","16,699","17,691","18,124","18,713","19,121","17,892","18,789","19,182","20,191","20,836","21,849","22,534","22,909","23,226","23,917","25,123","24,910","26,121","28,174","30,519"
East Midlands ,E07000035,Derbyshire Dales,"14,175","14,683","14,879","15,607","16,107","16,727","17,617","18,668","18,982","19,469","19,915","18,834","19,959","20,566","21,838","22,115","22,083","22,427","23,576","23,979","25,553","25,497","24,538","26,177","29,248","30,921"
East Midlands ,E07000036,Erewash,"9,505","9,851","9,914","10,342","10,726","11,093","11,641","12,353","12,901","13,213","13,433","12,629","13,324","14,064","14,586","15,306","15,415","15,817","16,561","17,249","17,755","18,822","18,194","19,289","20,718","21,764"
East Midlands ,E07000037,High Peak,"11,921","12,171","12,219","12,550","13,077","13,654","14,216","14,822","14,904","15,021","15,361","14,235","14,607","15,394","16,028","16,033","16,774","17,740","18,501","19,138","19,654","19,563","19,032","20,323","22,774","22,766"
East Midlands ,E07000039,South Derbyshire,"18,338","18,543","18,331","18,174","18,719","19,570","20,195","21,647","20,828","20,803","21,571","19,646","22,524","23,171","24,020","27,187","27,971","27,370","29,332","29,760","30,765","34,480","32,454","32,418","29,322","30,769"
East Midlands ,E06000018,Nottingham,"18,016","19,027","19,575","20,886","21,884","22,951","24,700","25,567","27,167","27,967","28,463","27,762","28,561","29,543","30,146","30,492","32,419","32,816","33,556","34,801","35,336","35,602","34,364","36,048","39,553","42,837"
